,0,1,2,3,4
147,1.0,1.0,1.0,1.0,1.0
154,1.0,1.0,1.0,1.0,1.0
161,1.0,1.0,1.0,1.0,1.0
169,1.0,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,1.0
184,1.0,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0,1.0
213,1.0,1.0,1.0,1.0,1.0
220,1.0,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0,1.0
250,1.0,1.0,1.0,1.0,1.0
257,1.0,1.0,1.0,1.0,1.0
264,1.0,1.0,1.0,1.0,1.0
272,1.0,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,1.0,1.0
287,1.0,1.0,1.0,1.0,1.0
294,1.0,1.0,1.0,1.0,1.0
433,1.0,1.0,1.0,1.0,1.0
573,1.0,1.0,1.0,1.0,1.0
712,1.0,1.0,1.0,1.0,1.0
852,1.0,1.0,1.0,1.0,1.0
991,1.0,1.0,1.0,1.0,1.0
1131,1.0,1.0,1.0,1.0,1.0
1270,1.0,0.9989733059548255,1.0,1.0,1.0
1410,0.9981515711645103,0.9990757855822551,1.0,1.0,1.0
1549,1.0,0.9991735537190084,1.0,1.0,1.0
1688,1.0,0.9992424242424242,1.0,1.0,1.0
1828,0.9958333333333332,0.9993055555555554,1.0,1.0,1.0
1967,0.9974358974358976,0.9993589743589745,0.9974358974358974,0.9993438320209973,0.9993438320209973
2107,0.9981949458483754,0.996991576413959,1.0,0.9993880048959609,0.9993880048959609
2246,1.0,0.9994337485843713,1.0,0.9994337485843713,0.9994279176201373
2386,0.9913966764576889,0.9973262032085561,0.9989304812834224,0.9994652406417114,0.9994669509594882
2525,0.9944275582573456,0.9984802431610943,0.9988432193285138,0.9989868287740629,0.998993963782696
2665,0.988676222756399,0.9958601308023758,1.0,0.9990421455938697,0.9995251661918328
2804,0.9913714804722978,0.9910778809420572,0.9977293369663941,0.9981834695731154,0.9977396021699818
2944,0.9958404205968765,0.9961206896551724,0.9955601515385805,0.9991379310344829,0.9982758620689656
